instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,,﻿Fourth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.132666,-80.083745,,,,,﻿Rev.,﻿Thos. Carroll,,﻿Pastor,,,,,,1869,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,,﻿Fourth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.132666,-80.083745,,,,,﻿Rev.,﻿John F. McSweeney,,,,,,,,1869,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿Ninth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.128843,-80.076118,,,,,﻿Rev.,﻿Benno Hegele,﻿O.S.B.,﻿Prior,,,,,,1869,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿Ninth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.128843,-80.076118,,,,,﻿Rev.,﻿Gerhard Pilz,﻿O.S.B.,,,,,,,1869,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿Ninth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.128843,-80.076118,,,,,﻿Rev.,﻿Thaddeus Heinzelmayer,﻿O.S.B.,,,,,,,1869,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0003,﻿church,﻿St. Joseph's,English,,﻿Federal Hill,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.112405,-80.077346,,,,,﻿Rev.,﻿Joseph Stumpe,,,,,,,,1869,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0005,﻿church,not recorded,English,,,,﻿Crawford County,,﻿Albion,﻿Albion,﻿PA,,41.890611,-80.366454,﻿erie.pa.0012,﻿attended from Linesville,,,,,,,,,,,,1869,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0004,﻿church,﻿St. Mary's,English,,,,﻿McKean County,,﻿Annin Township,,﻿PA,,41.511165,-80.369789,,,,,﻿Rev.,﻿Peter Patterson,,,,,,,,1869,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0007,﻿church,not recorded,English,,,,﻿Erie County,,﻿Beechwood,,﻿PA,,42.129224,-80.085059,,,,,﻿Rev. Father,﻿Gerst,,,,,,,,1869,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0009,﻿church,﻿Immaculate Conception,English,,,,﻿Jefferson County,,﻿Brookville,﻿Brookville,﻿PA,,41.161175,-79.083092,﻿erie.pa.0021,,,,,,,,,,,,,1869,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
